,Nome de Pregão,Razão Social,CNPJ,Código
126,ECOVIAS,CONC ECOVIAS IMIGRANTES S.A.,02.509.491/0001-26,#N/D
127,CONC RIO TER,CONC RIO-TERESOPOLIS S.A.,00.938.574/0001-05,"CRTE3B, CRTE5B"
128,ECOPISTAS,CONC ROD AYRTON SENNA E CARV PINTO S.A.-ECOPISTAS,10.841.050/0001-55,#N/D
129,VIAOESTE,CONC ROD.OESTE SP VIAOESTE S.A,02.415.408/0001-50,#N/D
130,ROD TIETE,CONC RODOVIAS DO TIETÊ S.A.,10.678.505/0001-63,#N/D
131,RT BANDEIRAS,CONC ROTA DAS BANDEIRAS S.A.,10.647.979/0001-48,#N/D
132,AUTOBAN,CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN,02.451.848/0001-62,#N/D
133,ODERICH,CONSERVAS ODERICH S.A.,97.191.902/0001-94,"ODER3, ODER4"
134,ALFA CONSORC,CONSORCIO ALFA DE ADMINISTRACAO S.A.,17.193.806/0001-46,"BRGE11, BRGE12, BRGE3, BRGE5, BRGE6, BRGE7, BRGE8"
135,CONST A LIND,CONSTRUTORA ADOLPHO LINDENBERG S.A.,61.022.042/0001-18,"CALI3, CALI4"
136,TENDA,CONSTRUTORA TENDA S.A.,71.476.527/0001-35,TEND3
137,COR RIBEIRO,CORREA RIBEIRO S.A. COMERCIO E INDUSTRIA,15.101.405/0001-93,"CORR3, CORR4"
138,COSAN LOG,COSAN LOGISTICA S.A.,17.346.997/0001-39,RLOG3
139,COSAN,COSAN S.A.,50.746.577/0001-15,CSAN3
140,CPFL ENERGIA,CPFL ENERGIA S.A.,02.429.144/0001-93,CPFE3
141,CPFL RENOVAV,CPFL ENERGIAS RENOVÁVEIS S.A.,08.439.659/0001-50,CPRE3
142,CPFL GERACAO,CPFL GERACAO DE ENERGIA S.A.,03.953.509/0001-47,#N/D
143,CR2,CR2 EMPREENDIMENTOS IMOBILIARIOS S.A.,07.820.907/0001-46,CRDE3
144,CSU CARDSYST,CSU CARDSYSTEM S.A.,01.896.779/0001-38,CARD3
145,CTC S.A.,CTC – CENTRO DE TECNOLOGIA CANAVIEIRA S.A.,06.981.381/0001-13,#N/D
146,TRAN PAULIST,CTEEP – CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA,02.998.611/0001-04,"TRPL3, TRPL4"
147,CVC BRASIL,CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.,10.760.260/0001-19,CVCB3
148,CYRELA REALT,CYRELA BRAZIL REALTY S.A.EMPREEND E PART,73.178.600/0001-18,CYRE3
149,CYRE COM-CCP,CYRELA COMMERCIAL PROPERT S.A. EMPR PART,08.801.621/0001-86,CCPR3
150,DASA,DIAGNOSTICOS DA AMERICA S.A.,61.486.650/0001-83,DASA3
151,DIBENS LSG,DIBENS LEASING S.A. – ARREND.MERCANTIL,65.654.303/0001-73,#N/D
152,DIMED,DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS,92.665.611/0001-77,"PNVL4, PNVL3"
153,DIRECIONAL,DIRECIONAL ENGENHARIA S.A.,16.614.075/0001-00,DIRR3
154,DOHLER,DOHLER S.A.,84.683.408/0001-03,"DOHL3, DOHL4"
155,DOMMO,DOMMO ENERGIA S.A.,08.926.302/0001-05,"DMMO11, DMMO3"
156,DTCOM-DIRECT,DTCOM – DIRECT TO COMPANY S.A.,03.303.999/0001-36,"DTCY3, DTCY4"
157,DURATEX,DURATEX S.A.,97.837.181/0001-47,DTEX3
158,ECO SEC AGRO,ECO SECURITIZADORA DIREITOS CRED AGRONEGÓCIO S.A.,10.753.164/0001-43,#N/D
159,ECON,ECORODOVIAS CONCESSÕES E SERVIÇOS S.A.,08.873.873/0001-10,#N/D
160,ECORODOVIAS,ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.,04.149.454/0001-80,ECOR3
161,ENERGIAS BR,EDP – ENERGIAS DO BRASIL S.A.,03.983.431/0001-03,ENBR3
162,ESCELSA,EDP ESPIRITO SANTO DISTRIBUIÇÃO DE ENERGIA S.A.,28.152.650/0001-71,#N/D
163,EBE,EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.,02.302.100/0001-06,#N/D
164,ACO ALTONA,ELECTRO ACO ALTONA S.A.,82.643.537/0001-34,"EALT3, EALT4"
165,ELEKEIROZ,ELEKEIROZ S.A.,13.788.120/0001-47,"ELEK3, ELEK4"
166,ELEKTRO,ELEKTRO REDES S.A.,02.328.280/0001-97,"EKTR3, EKTR4"
167,ELETROPAR,ELETROBRÁS PARTICIPAÇÕES S.A. – ELETROPAR,01.104.937/0001-70,LIPR3
168,ELETROPAULO,ELETROPAULO METROP. ELET. SAO PAULO S.A.,61.695.227/0001-93,#N/D
169,EMAE,EMAE – EMPRESA METROP.AGUAS ENERGIA S.A.,02.302.101/0001-42,"EMAE3, EMAE4"
170,EMBRAER,EMBRAER S.A.,07.689.002/0001-89,EMBR3
171,ECONORTE,EMPRESA CONC RODOV DO NORTE S.A.ECONORTE,02.222.736/0001-30,#N/D
172,ENCORPAR,EMPRESA NAC COM REDITO PART S.A.ENCORPAR,01.971.614/0001-83,"ECPR3, ECPR4"
173,ENAUTA PART,ENAUTA PARTICIPAÇÕES S.A.,11.669.021/0001-10,ENAT3
174,ENERSUL,ENERGISA MATO GROSSO DO SUL – DIST DE ENERGIA S.A.,15.413.826/0001-50,#N/D
175,ENERGISA MT,ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A,03.467.321/0001-99,"ENMT3, ENMT4"
176,ENERGISA,ENERGISA S.A.,00.864.214/0001-06,"ENGI11, ENGI3, ENGI4"
177,ENEVA,ENEVA S.A,04.423.567/0001-21,ENEV3
178,ENGIE BRASIL,ENGIE BRASIL ENERGIA S.A.,02.474.103/0001-19,EGIE3
179,EQUATORIAL,EQUATORIAL ENERGIA S.A.,03.220.438/0001-73,EQTL3
180,EQTLMARANHAO,EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.,06.272.793/0001-84,#N/D
181,EQTL PARA,EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.,04.895.728/0001-80,"EQPA3, EQPA5, EQPA6, EQPA7"
182,ETERNIT,ETERNIT S.A.,61.092.037/0001-81,ETER3
183,EUCATEX,EUCATEX S.A. INDUSTRIA E COMERCIO,56.643.018/0001-66,"EUCA4, EUCA3"
184,EVEN,EVEN CONSTRUTORA E INCORPORADORA S.A.,43.470.988/0001-65,EVEN3
185,EXCELSIOR,EXCELSIOR ALIMENTOS S.A.,95.426.862/0001-97,"BAUH3, BAUH4"
186,EZTEC,EZ TEC EMPREEND. E PARTICIPACOES S.A.,08.312.229/0001-73,EZTC3
187,FGENERGIA,FERREIRA GOMES ENERGIA S.A.,12.489.315/0001-23,#N/D
188,FER C ATLANT,FERROVIA CENTRO-ATLANTICA S.A.,00.924.429/0001-75,"VSPT3, VSPT4"
189,FER HERINGER,FERTILIZANTES HERINGER S.A.,22.266.175/0001-88,FHER3
190,ALFA FINANC,FINANCEIRA ALFA S.A.- CRED FINANC E INVS,17.167.412/0001-13,"CRIV3, CRIV4"
191,FINANSINOS,FINANSINOS S.A.- CREDITO FINANC E INVEST,91.669.747/0001-92,FNCN3
192,FLEURY,FLEURY S.A.,60.840.055/0001-31,FLRY3
193,FLEX S/A,FLEX GESTÃO DE RELACIONAMENTOS S.A.,10.851.805/0001-00,FLEX3
194,FRAS-LE,FRAS-LE S.A.,88.610.126/0001-29,FRAS3
195,GAFISA,GAFISA S.A.,01.545.826/0001-07,GFSA3
196,GAIA AGRO,GAIA AGRO SECURITIZADORA S.A.,14.876.090/0001-93,GAFL-CRA02B0
197,GAIA SECURIT,GAIA SECURITIZADORA S.A.,07.587.384/0001-30,#N/D
198,GAMA PART,GAMA PARTICIPACOES S.A.,02.796.775/0001-40,OPGM3B
199,GENERALSHOPP,GENERAL SHOPPING E OUTLETS DO BRASIL S.A.,08.764.621/0001-53,GSHP3
200,GERDAU,GERDAU S.A.,33.611.500/0001-19,"GGBR3, GGBR4"
201,GOL,GOL LINHAS AEREAS INTELIGENTES S.A.,06.164.253/0001-87,"GOLL11, GOLL4"
202,GP INVEST,GP INVESTMENTS. LTD.,07.857.850/0001-50,GPIV33
203,GPC PART,GPC PARTICIPACOES S.A.,02.193.750/0001-52,"GPCP3, GPCP4"
204,GRAZZIOTIN,GRAZZIOTIN S.A.,92.012.467/0001-70,"CGRA4, CGRA3"
205,GRENDENE,GRENDENE S.A.,89.850.341/0001-60,GRND3
206,CENTAURO,GRUPO SBF SA,13.217.485/0001-11,CNTO3
207,GUARARAPES,GUARARAPES CONFECCOES S.A.,08.402.943/0001-52,GUAR3
208,HAGA S/A,HAGA S.A. INDUSTRIA E COMERCIO,30.540.991/0001-66,"HAGA3, HAGA4"
209,HAPVIDA,HAPVIDA PARTICIPACOES E INVESTIMENTOS SA,05.197.443/0001-38,HAPV3
210,HELBOR,HELBOR EMPREENDIMENTOS S.A.,49.263.189/0001-02,HBOR3
211,HERCULES,HERCULES S.A. FABRICA DE TALHERES,92.749.225/0001-63,"HETA3, HETA4"
212,HOTEIS OTHON,HOTEIS OTHON S.A.,33.200.049/0001-47,HOOT4
213,HYPERA,HYPERA S.A.,02.932.074/0001-91,HYPE3
214,IDEIASNET,IDEIASNET S.A.,02.365.069/0001-44,IDNT3
215,IGB S/A,IGB ELETRÔNICA S/A,43.185.362/0001-07,IGBR3
216,IGUA SA,IGUA SANEAMENTO S.A.,08.159.965/0001-33,IGSN3
217,IGUATEMI,IGUATEMI EMPRESA DE SHOPPING CENTERS S.A,51.218.147/0001-93,IGTA3
218,J B DUARTE,INDUSTRIAS J B DUARTE S.A.,60.637.238/0001-54,"JBDU3, JBDU4"
219,INDS ROMI,INDUSTRIAS ROMI S.A.,56.720.428/0001-63,ROMI3
220,INEPAR,INEPAR S.A. INDUSTRIA E CONSTRUCOES,76.627.504/0001-06,"INEP4, INEP3"
221,SELECTPART,INNCORP S.A.,02.604.860/0001-60,SLCT3B
222,IHPARDINI,INSTITUTO HERMES PARDINI S.A.,19.378.769/0001-76,PARD3
223,INTER SA,INTER CONSTRUTORA E INCORPORADORA S.A.,09.611.768/0001-76,INNT3
224,IMC S/A,INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.,17.314.329/0001-20,MEAL3
225,INVEST BEMGE,INVESTIMENTOS BEMGE S.A.,01.548.981/0001-79,"FIGE3, FIGE4"
226,INVEPAR,INVESTIMENTOS E PARTICIP. EM INFRA S.A. – INVEPAR,03.758.318/0001-24,"IVPR4B, IVPR3B"
227,IOCHP-MAXION,IOCHPE MAXION S.A.,61.156.113/0001-75,MYPK3
228,IRANI,IRANI PAPEL E EMBALAGEM S.A.,92.791.243/0001-03,"RANI3, RANI4"
229,IRBBRASIL RE,IRB – BRASIL RESSEGUROS S.A.,33.376.989/0001-91,IRBR3
230,ITAPEBI,ITAPEBI GERACAO DE ENERGIA S.A.,02.397.080/0001-96,#N/D
231,ITAUUNIBANCO,ITAU UNIBANCO HOLDING S.A.,60.872.504/0001-23,"ITUB3, ITUB4"
232,ITAUSA,ITAUSA INVESTIMENTOS ITAU S.A.,61.532.644/0001-15,"ITSA3, ITSA4"
233,J.MACEDO,J. MACEDO S.A.,14.998.371/0001-19,#N/D
234,JBS,JBS S.A.,02.916.265/0001-60,JBSS3
235,JEREISSATI,JEREISSATI PARTICIPACOES S.A.,60.543.816/0001-93,JPSA3
236,JHSF PART,JHSF PARTICIPACOES S.A.,08.294.224/0001-65,JHSF3
237,JOAO FORTES,JOAO FORTES ENGENHARIA S.A.,33.035.536/0001-00,JFEN3
238,JOSAPAR,JOSAPAR-JOAQUIM OLIVEIRA S.A. – PARTICIP,87.456.562/0001-22,"JOPA3, JOPA4"
239,JSL,JSL S.A.,52.548.435/0001-79,JSLG3
240,KARSTEN,KARSTEN S.A.,82.640.558/0001-04,"CTKA4, CTKA3"
241,KEPLER WEBER,KEPLER WEBER S.A.,91.983.056/0001-69,KEPL3
242,KLABIN S/A,KLABIN S.A.,89.637.490/0001-45,"KLBN11, KLBN3, KLBN4"
243,LIFEMED,LIFEMED INDUSTRIAL EQUIP. DE ART. MÉD. HOSP. S.A.,02.357.251/0001-53,LMED3
244,LIGHT S/A,LIGHT S.A.,03.378.521/0001-75,LIGT3
245,LIGHT,LIGHT SERVICOS DE ELETRICIDADE S.A.,60.444.437/0001-46,#N/D
246,LINX,LINX S.A.,06.948.969/0001-75,LINX3
247,LITEL,LITEL PARTICIPACOES S.A.,00.743.065/0001-27,LTEL3B
248,LITELA,LITELA PARTICIPAÇÕES S.A.,05.495.546/0001-84,LTLA3B
249,LOCALIZA,LOCALIZA RENT A CAR S.A.,16.670.085/0001-55,RENT3
250,LOCAWEB,LOCAWEB SERVIÇOS DE INTERNET S.A.,02.351.877/0001-52,LWSA3
251,LOG COM PROP,LOG COMMERCIAL PROPERTIES,09.041.168/0001-10,LOGG3
252,LOG-IN,LOG-IN LOGISTICA INTERMODAL S.A.,42.278.291/0001-24,LOGN3
253,LOJAS AMERIC,LOJAS AMERICANAS S.A.,33.014.556/0001-96,"LAME3, LAME4"
254,LOJAS RENNER,LOJAS RENNER S.A.,92.754.738/0001-62,LREN3
255,LONGDIS,LONGDIS S.A.,02.338.534/0001-58,#N/D
256,LOPES BRASIL,LPS BRASIL – CONSULTORIA DE IMOVEIS S.A.,08.078.847/0001-09,LPSB3
257,LUPATECH,LUPATECH S.A.,89.463.822/0001-12,LUPA3
258,M.DIASBRANCO,M.DIAS BRANCO S.A. IND COM DE ALIMENTOS,07.206.816/0001-15,MDIA3
259,MAESTROLOC,MAESTRO LOCADORA DE VEICULOS S.A.,08.795.211/0001-70,MSRO3
260,MAGAZ LUIZA,MAGAZINE LUIZA S.A.,47.960.950/0001-21,MGLU3
261,METAL LEVE,MAHLE-METAL LEVE S.A.,60.476.884/0001-87,LEVE3
262,MANGELS INDL,MANGELS INDUSTRIAL S.A.,61.065.298/0001-02,"MGEL3, MGEL4"
263,ESTRELA,MANUFATURA DE BRINQUEDOS ESTRELA S.A.,61.082.004/0001-50,"ESTR4, ESTR3"
264,MARCOPOLO,MARCOPOLO S.A.,88.611.835/0001-29,"POMO4, POMO3"
265,MARFRIG,MARFRIG GLOBAL FOODS S.A.,03.853.896/0001-40,MRFG3
266,LOJAS MARISA,MARISA LOJAS S.A.,61.189.288/0001-89,AMAR3
267,MERC FINANC,MERCANTIL BRASIL FINANC S.A. C.F.I.,33.040.601/0001-87,"MERC3, MERC4"
268,METALFRIO,METALFRIO SOLUTIONS S.A.,04.821.041/0001-08,FRIO3
